Sno.,Proposal No.,MOEFCC File No.,Project Name,Company,Proposal Status,View,S.No,Proposal Details,Location,Important Dates,Category,Company/Proponent,Forest Clearance Required ?,* Attached Files
"
                            13
                        ","
IA/AP/IND/106261/2019
","

J-11011/379/2008-IA-II(I)
","

Raghuram Cements Limited
","

BHARATHI CEMENT CORPORATION PRIVATE LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/106261/2019
File No : J-11011/379/2008-IA-II(I)
Proposal Name : Raghuram Cements Limited","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 10 Dec 2008,Industrial Projects-1,BHARATHI CEMENT CORPORATION PRIVATE LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/51123124212190QM1KEC.pdf
"
                            14
                        ","
IA/AP/IND/112315/2008
","

SEIAA/AP/NLR-16/2008
","

AMMAN-TRY Sponge & Power (P) Limited
","

AMMAN-TRY SPONGE & POWER (P) LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/112315/2008
File No : SEIAA/AP/NLR-16/2008
Proposal Name : AMMAN-TRY Sponge & Power (P) Limited","State : Andhra Pradesh
District : Nellore
Village :","Date of apply for TOR : 06/10/2008
Date of TOR Granted : 10 Dec 2008
Date of Receipt for EC : 13 Apr 2010
Date of EC Granted : 29 Jun 2010",Industrial Projects-1,AMMAN-TRY SPONGE & POWER (P) LIMITED,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/25_Jul_2019_085600797VAL4MLHSTOR.pdf
https://environmentclearance.nic.in/writereaddata/Form-1A/EC/25_Jul_2019_08560093360QFKG97EC.pdf"
"
                            15
                        ","
IA/AP/IND/112315/2008
","

SEIAA/AP/NLR-16/2008
","

AMMAN-TRY Sponge & Power (P) Limited
","

AMMAN-TRY SPONGE & POWER (P) LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/112315/2008
File No : SEIAA/AP/NLR-16/2008
Proposal Name : AMMAN-TRY Sponge & Power (P) Limited","State : Andhra Pradesh
District : Nellore
Village :","Date of Receipt of Proposal : 06/10/2008
Date of TOR Granted : 10 Dec 2008",Industrial Projects-1,AMMAN-TRY SPONGE & POWER (P) LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/25_Jul_2019_085600797VAL4MLHSTOR.pdf
"
                            16
                        ","
IA/AP/IND/117330/2008
","

J-11011/331/2008-IA.II(I)
","

Capacity Expansion of Sri Jayalakshmi Ferro Alloys (P) Limited from 31,320 to 1,30,320 TPA Ferro alloys production by installation of additional 3x9 MVA+ 1X24 MVA Submerged Arc Furnace (SAF) along wit
","

SHRI JAYALAKSHMI FERRO ALLOYS PVT LTD
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/117330/2008
File No : J-11011/331/2008-IA.II(I)
Proposal Name : Capacity Expansion of Sri Jayalakshmi Ferro Alloys (P) Limited from 31,320 to 1,30,320 TPA Ferro alloys production by installation of additional 3x9 MVA+ 1X24 MVA Submerged Arc Furnace (SAF) along wit","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : 31/03/2008
Date of TOR Granted : 10 Jun 2008",Industrial Projects-1,SHRI JAYALAKSHMI FERRO ALLOYS PVT LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/09092019OYKUX0QZTORLetter.pdf
"
                            17
                        ","
IA/AP/IND/117597/2019
","

J-11011/500/2011-IA.II(I)
","

Proposed  4,60,000 TPA Greenfield Calcined Petroleum Coke Plant with 25 MW Power Generation Based on Process Heat Recovery 
","

SANVIRA INDUSTRIES LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/117597/2019
File No : J-11011/500/2011-IA.II(I)
Proposal Name : Proposed 4,60,000 TPA Greenfield Calcined Petroleum Coke Plant with 25 MW Power Generation Based on Process Heat Recovery","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 28 Dec 2012",Industrial Projects-1,SANVIRA INDUSTRIES LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/9111012401218QT9PLAnnexure-previousec.pdf
"
                            18
                        ","
IA/AP/IND/117597/2019
","

J-11011/500/2011-IA.II(I)
","

Proposed  4,60,000 TPA Greenfield Calcined Petroleum Coke Plant with 25 MW Power Generation Based on Process Heat Recovery 
","

SANVIRA INDUSTRIES LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/117597/2019
File No : J-11011/500/2011-IA.II(I)
Proposal Name : Proposed 4,60,000 TPA Greenfield Calcined Petroleum Coke Plant with 25 MW Power Generation Based on Process Heat Recovery","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,SANVIRA INDUSTRIES LIMITED,,
"
                            19
                        ","
IA/AP/IND/120928/2019
","

J-11011/126/2011-IA II (1)
","

Validity Extention of TOR of M/s The India Cements Limited for expansion of Cement Plant with Clinker Production from 1.485 MTPA to 3.65 MTPA and Cement from 1.65 MTPA to 5.50 MTPA and Installation of
","

India Cements Ltd.,
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/120928/2019
File No : J-11011/126/2011-IA II (1)
Proposal Name : Validity Extention of TOR of M/s The India Cements Limited for expansion of Cement Plant with Clinker Production from 1.485 MTPA to 3.65 MTPA and Cement from 1.65 MTPA to 5.50 MTPA and Installation of","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 18 Jan 2017",Industrial Projects-1,"India Cements Ltd.,",,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/1011912111213RXD5QTORS.pdf
"
                            20
                        ","
IA/AP/IND/126275/2019
","

J-11011/507/2011-IA.II(I)
","

Proposed    Ferro Alloys Manufacturing unit & Manganese Ore Sinter Plant 
","

M/S. VICTORIA FERRO ALLOYS (P) LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/126275/2019
File No : J-11011/507/2011-IA.II(I)
Proposal Name : Proposed Ferro Alloys Manufacturing unit & Manganese Ore Sinter Plant","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 24 Jul 2012",Industrial Projects-1,M/S. VICTORIA FERRO ALLOYS (P) LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/11112012551211BSW78ECORDER.pdf
"
                            21
                        ","
IA/AP/IND/126275/2019
","

J-11011/507/2011-IA.II(I)
","

Proposed    Ferro Alloys Manufacturing unit & Manganese Ore Sinter Plant 
","

M/S. VICTORIA FERRO ALLOYS (P) LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/126275/2019
File No : J-11011/507/2011-IA.II(I)
Proposal Name : Proposed Ferro Alloys Manufacturing unit & Manganese Ore Sinter Plant","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,M/S. VICTORIA FERRO ALLOYS (P) LIMITED,,
"
                            22
                        ","
IA/AP/IND/133773/2019
","

IA-J-11011/160/2019-IA-II(I)
","

Setting up of 2 MTPA pellet plant at Rashtriya Ispat Nigam Limited (RINL) formerly known as VSP at Visakhapatnam, Andhra Pradesh.
","

KIOCL LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/133773/2019
File No : IA-J-11011/160/2019-IA-II(I)
Proposal Name : Setting up of 2 MTPA pellet plant at Rashtriya Ispat Nigam Limited (RINL) formerly known as VSP at Visakhapatnam, Andhra Pradesh.","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 20 May 2019",Industrial Projects-1,KIOCL LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/12112712221214C83VSTORletter.pdf
"
                            23
                        ","
IA/AP/IND/134563/2020
","

158/2001
","

SRIKALAHASTI PIPES LIMITED 
","

SRIKALAHASTHI PIPES LTD
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/134563/2020
File No : 158/2001
Proposal Name : SRIKALAHASTI PIPES LIMITED","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 11 Jan 2013",Industrial Projects-1,SRIKALAHASTHI PIPES LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/111212251214TYJCUEC.pdf
"
                            24
                        ","
IA/AP/IND/134563/2020
","

158/2001
","

SRIKALAHASTI PIPES LIMITED 
","

SRIKALAHASTHI PIPES LTD
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/134563/2020
File No : 158/2001
Proposal Name : SRIKALAHASTI PIPES LIMITED","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,SRIKALAHASTHI PIPES LTD,,
"
                            25
                        ","
IA/AP/IND/140827/2020
","

23-132/2018-IA.III (V)
","

Capacity Expansion of Visakhapatnam Steel Plant from 6.3 MTPA to 7.3 MTPA by revamping and Augmentation of existing facilities by Rashtriya Ispat Nigam Limited
","

Rashtriya Ispat Nigam Limited (RINL)
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/140827/2020
File No : 23-132/2018-IA.III (V)
Proposal Name : Capacity Expansion of Visakhapatnam Steel Plant from 6.3 MTPA to 7.3 MTPA by revamping and Augmentation of existing facilities by Rashtriya Ispat Nigam Limited","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 03 Jun 2019",Industrial Projects-1,Rashtriya Ispat Nigam Limited (RINL),,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/211512101212YEPLNEC.pdf
"
                            26
                        ","
IA/AP/IND/140827/2020
","

23-132/2018-IA.III (V)
","

Capacity Expansion of Visakhapatnam Steel Plant from 6.3 MTPA to 7.3 MTPA by revamping and Augmentation of existing facilities by Rashtriya Ispat Nigam Limited
","

Rashtriya Ispat Nigam Limited (RINL)
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/140827/2020
File No : 23-132/2018-IA.III (V)
Proposal Name : Capacity Expansion of Visakhapatnam Steel Plant from 6.3 MTPA to 7.3 MTPA by revamping and Augmentation of existing facilities by Rashtriya Ispat Nigam Limited","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,Rashtriya Ispat Nigam Limited (RINL),,
"
                            27
                        ","
IA/AP/IND/144727/2020
","

J-11011/421/2017-IA,II(I)
","

Expansion of Cement Plant of M/s. Sagar Cements (R) ltd (Formerly  BMM Cements Limited)
","

SAGAR CEMENTS LTD
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/144727/2020
File No : J-11011/421/2017-IA,II(I)
Proposal Name : Expansion of Cement Plant of M/s. Sagar Cements (R) ltd (Formerly BMM Cements Limited)","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 27 Mar 2018",Industrial Projects-1,SAGAR CEMENTS LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/2112212451211SWV9OpreviousTOR.pdf
"
                            28
                        ","
IA/AP/IND/145917/2020
","

J-11011/450/2007-IA.II(I)
","

Cement Plant (3.2 MTPA)
","

SREE JAYAJOTHI CEMENTS PRIVATE LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/145917/2020
File No : J-11011/450/2007-IA.II(I)
Proposal Name : Cement Plant (3.2 MTPA)","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 24 Mar 2008,Industrial Projects-1,SREE JAYAJOTHI CEMENTS PRIVATE LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/2112712211217RTJE8EC_2008.pdf
"
                            29
                        ","
IA/AP/IND/145957/2020
","

J-11011/21/2014-IAII(I)
","

Sree Jayajothi Cements
","

SREE JAYAJOTHI CEMENTS PRIVATE LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/145957/2020
File No : J-11011/21/2014-IAII(I)
Proposal Name : Sree Jayajothi Cements","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 28 Apr 2015,Industrial Projects-1,SREE JAYAJOTHI CEMENTS PRIVATE LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/2112712411218WONBWEC_2015.pdf
"
                            30
                        ","
IA/AP/IND/145963/2020
","

J-11011/225/2014-IA-II(I)
","

Cement Plant unit-II with Clinker Production Capacity-2.5 MTPA and cement Production Capacity-2.5MTPA at Yanakandla Village, Kurnool Distt., Andhra Pradesh by M/s Sree Jayajyothi Cements
","

SREE JAYAJOTHI CEMENTS PRIVATE LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/145963/2020
File No : J-11011/225/2014-IA-II(I)
Proposal Name : Cement Plant unit-II with Clinker Production Capacity-2.5 MTPA and cement Production Capacity-2.5MTPA at Yanakandla Village, Kurnool Distt., Andhra Pradesh by M/s Sree Jayajyothi Cements","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 07 Nov 2017,Industrial Projects-1,SREE JAYAJOTHI CEMENTS PRIVATE LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/2112712312190QCG8EC_2017.pdf
"
                            31
                        ","
IA/AP/IND/158255/2020
","

IA-J-11011/160/2019-IA.II (I)
","

Setting up of 2 MTPA pellet plant at Rashtriya Ispat Nigam Limited (RINL) at Visakhapatnam, Andhra Pradesh.
","

KIOCL LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/158255/2020
File No : IA-J-11011/160/2019-IA.II (I)
Proposal Name : Setting up of 2 MTPA pellet plant at Rashtriya Ispat Nigam Limited (RINL) at Visakhapatnam, Andhra Pradesh.","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 20 May 2019",Industrial Projects-1,KIOCL LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/611171241213NA0Q7TORletter.pdf
"
                            32
                        ","
IA/AP/IND/161872/2020
","

J-11011/226/2016-IA.II(I)
","

Integrated Cement Plant
","

M/S NU VISTA LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/161872/2020
File No : J-11011/226/2016-IA.II(I)
Proposal Name : Integrated Cement Plant","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 03 Jan 2017",Industrial Projects-1,M/S NU VISTA LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/711312441217HQK57Tengada_TORCementPlant.pdf
"
                            33
                        ","
IA/AP/IND/168526/2020
","

J-11011/889/2007-IA.II(I)
","

M/s. JSW CEMENTS LIMITED
","

JSW CEMENT LTD
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/168526/2020
File No : J-11011/889/2007-IA.II(I)
Proposal Name : M/s. JSW CEMENTS LIMITED","State : Andhra Pradesh
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 09 Mar 2016",Industrial Projects-1,JSW CEMENT LTD,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/8111712181220ZROB3ECExpansion.pdf
"
                            34
                        ","
IA/AP/IND/168526/2020
","

J-11011/889/2007-IA.II(I)
","

M/s. JSW CEMENTS LIMITED
","

JSW CEMENT LTD
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/168526/2020
File No : J-11011/889/2007-IA.II(I)
Proposal Name : M/s. JSW CEMENTS LIMITED","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Industrial Projects-1,JSW CEMENT LTD,,
"
                            35
                        ","
IA/AP/IND/17076/2012
","

J-11011/163/2009-IA.II(I)
","

Expansion of steel plant by installing Iron Ore Beneficiation and Pelletization (450000 TPA)
","

M/s Genext Steels Pvt. Limited 
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/17076/2012
File No : J-11011/163/2009-IA.II(I)
Proposal Name : Expansion of steel plant by installing Iron Ore Beneficiation and Pelletization (450000 TPA)","State : Andhra Pradesh
District : Rangareddi
Village :","Date of apply for TOR : 27/06/2012
Date of TOR Granted : N/A
Date of Receipt for EC : 27 Jun 2012
Date of EC Granted : 22 Mar 2013",Industrial Projects-1,M/s Genext Steels Pvt. Limited,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/0_0_05_Apr_2013_1241592271163.pdf
"
                            36
                        ","
IA/AP/IND/178254/2020
","

F.N. J-11011/421/2011-IA.II (I)
","

 Integrated Cement Plant with a Capacity of 3.5 MTPA, WHRB with a Power Generation capacity of 8 MW and CPP with a capacity of 2x50 MW at Pedagarlapadu & Kesanupalli ( V), Manadl  Dachepalli, Dist. Gu
","

CHETTINAD CEMENT CORPORATION PRIVATE LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/AP/IND/178254/2020
File No : F.N. J-11011/421/2011-IA.II (I)
Proposal Name : Integrated Cement Plant with a Capacity of 3.5 MTPA, WHRB with a Power Generation capacity of 8 MW and CPP with a capacity of 2x50 MW at Pedagarlapadu & Kesanupalli ( V), Manadl Dachepalli, Dist. Gu","State : Andhra Pradesh
District :
Village :",Date of EC Granted : 24 Feb 2015,Industrial Projects-1,CHETTINAD CEMENT CORPORATION PRIVATE LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/10119124712137Z85LDachepalliPlantEC1.pdf
"
                            37
                        ","
IA/AP/IND/178487/2020
","

IA-J11011/70/2020-IA.II(I)
","

3.0 Million MTPA Integrated Steel Plant and 84.7 MW captive power plant of AP High Grade Steels Limited
","

AP HIGH GRADE STEELS LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/AP/IND/178487/2020
File No : IA-J11011/70/2020-IA.II(I)
Proposal Name : 3.0 Million MTPA Integrated Steel Plant and 84.7 MW captive power plant of AP High Grade Steels Limited","State : Andhra Pradesh
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted : 09 Jul 2020",Industrial Projects-1,AP HIGH GRADE STEELS LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/10111012491221PNG0QToRAPHSL.pdf
