Sno.,Proposal No.,MOEFCC File No.,Project Name,Company,Proposal Status,View,S.No,Proposal Details,Location,Important Dates,Category,Company/Proponent,Forest Clearance Required ?,* Attached Files
"
                            11
                        ","
IA/GJ/MIN/11479/2007
","

No.J-11015/397/2007-IA.II(M)
","

Pachhatar Limestone Mine
","

M/s Tata Chemicals
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/11479/2007
File No : No.J-11015/397/2007-IA.II(M)
Proposal Name : Pachhatar Limestone Mine","State : Gujarat
District : Jamnagar
Village :","Date of apply for TOR : 05/01/2007
Date of TOR Granted : 14 Sep 2007
Date of Receipt for EC : 08 Dec 2007
Date of EC Granted : 26 Feb 2008",Mining Projects,M/s Tata Chemicals,,"https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1889
https://environmentclearance.nic.in/Auth/openletter.aspx?EC=2282"
"
                            12
                        ","
IA/GJ/MIN/11665/2007
","

No.J-11015/86/2007-IA.II(M)
","

Godhana Limestone Mine
","

M/s Tata Chemicals Ltd.
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/11665/2007
File No : No.J-11015/86/2007-IA.II(M)
Proposal Name : Godhana Limestone Mine","State : Gujarat
District : Balaghat
Village :","Date of Receipt of Proposal : 25/01/2007
Date of TOR Granted : 05 Apr 2007",Mining Projects,M/s Tata Chemicals Ltd.,,https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1279
"
                            13
                        ","
IA/GJ/MIN/11665/2007
","

No.J-11015/86/2007-IA.II(M)
","

Godhana Limestone Mine
","

M/s Tata Chemicals Ltd.
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/11665/2007
File No : No.J-11015/86/2007-IA.II(M)
Proposal Name : Godhana Limestone Mine","State : Gujarat
District : Balaghat
Village :","Date of apply for TOR : 25/01/2007
Date of TOR Granted : 05 Apr 2007
Date of Receipt for EC :
Date of EC Granted : 05 Apr 2007",Mining Projects,M/s Tata Chemicals Ltd.,,"https://environmentclearance.nic.in/Auth/openletter.aspx?TOR=1279
https://environmentclearance.nic.in/Auth/openletter.aspx?EC=2288"
"
                            14
                        ","
IA/GJ/MIN/125594/2019
","

J-11015/309/2012-IA.II (M)
","

Aniali Limestone Mine
","

M/S TATA CHEMICALS LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/125594/2019
File No : J-11015/309/2012-IA.II (M)
Proposal Name : Aniali Limestone Mine","State : Gujarat
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 27 Jul 2015",Mining Projects,M/S TATA CHEMICALS LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/1111151211217O4VF9PreviousECLetter.pdf
"
                            15
                        ","
IA/GJ/MIN/125594/2019
","

J-11015/309/2012-IA.II (M)
","

Aniali Limestone Mine
","

M/S TATA CHEMICALS LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/125594/2019
File No : J-11015/309/2012-IA.II (M)
Proposal Name : Aniali Limestone Mine","State : Gujarat
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Mining Projects,M/S TATA CHEMICALS LIMITED,,
"
                            16
                        ","
IA/GJ/MIN/126699/2019
","

J-11015/304/2012-IA.II (M)
","

Aniali Limestone Mining Project
","

MS TATA CHEMICALS LIMITED
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/126699/2019
File No : J-11015/304/2012-IA.II (M)
Proposal Name : Aniali Limestone Mining Project","State : Gujarat
District :
Village :","Date of apply for TOR : N/A
Date of TOR Granted :
Date of Receipt for EC :
Date of EC Granted : 27 Jul 2015",Mining Projects,MS TATA CHEMICALS LIMITED,,https://environmentclearance.nic.in/writereaddata/Form-1A/EC/121161211217A9HIQPEC.pdf
"
                            17
                        ","
IA/GJ/MIN/126699/2019
","

J-11015/304/2012-IA.II (M)
","

Aniali Limestone Mining Project
","

MS TATA CHEMICALS LIMITED
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/126699/2019
File No : J-11015/304/2012-IA.II (M)
Proposal Name : Aniali Limestone Mining Project","State : Gujarat
District :
Village :","Date of Receipt of Proposal : N/A
Date of TOR Granted :",Mining Projects,MS TATA CHEMICALS LIMITED,,
"
                            18
                        ","
IA/GJ/MIN/17098/2012
","

J-11015/306/2012-IA.II(M)
","

Limestone mine with production capacity of 0.122 MTPA 
","

M/s Tata Chemicals Ltd
","
DList
","






",1,"Proposal No : IA/GJ/MIN/17098/2012
File No : J-11015/306/2012-IA.II(M)
Proposal Name : Limestone mine with production capacity of 0.122 MTPA","State : Gujarat
District : Porbandar  
Village :","Date of Receipt for Proposal : 03 Jul 2012
Date of Delisted : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd,https://environmentclearance.nic.in/Default.aspx,
"
                            19
                        ","
IA/GJ/MIN/21596/2014
","

J-11015/308/2012-IA-II(M)
","

Limestone Mine
","

M/s Tata Chemicals Ltd.
","
Closed
","






",1,"Proposal No : IA/GJ/MIN/21596/2014
File No : J-11015/308/2012-IA-II(M)
Proposal Name : Limestone Mine","State : Gujarat
District : Porbandar  
Village : Aniali","Date of Receipt for Proposal : 24 Jan 2014
Date of Closed : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            20
                        ","
IA/GJ/MIN/21599/2014
","

J-11015/304/2012-IA II(m)
","

LIME STONE MINE
","

TATA CHEMICALS LIMITED
","
Closed
","






",1,"Proposal No : IA/GJ/MIN/21599/2014
File No : J-11015/304/2012-IA II(m)
Proposal Name : LIME STONE MINE","State : Gujarat
District : Porbandar  
Village : ANIALI","Date of Receipt for Proposal : 24 Jan 2014
Date of Closed : 01 Feb 2014",Mining Projects,TATA CHEMICALS LIMITED,https://environmentclearance.nic.in/Default.aspx,
"
                            21
                        ","
IA/GJ/MIN/24179/2014
","

J-11015/304/2012-IA.II (M)
","

Limestone Mine (12.27 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24179/2014
File No : J-11015/304/2012-IA.II (M)
Proposal Name : Limestone Mine (12.27 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 12/07/2012
Date of TOR Granted : 05 Mar 2013",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/180820143HB2QJIJToRTATAAniali1227ha.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/3_(2.5)304_2012%20Ms%20Tata%20Chemicals%20Ltd.%20Additional%20information.pdf"
"
                            22
                        ","
IA/GJ/MIN/24179/2014
","

J-11015/304/2012-IA.II (M)
","

Limestone Mine (12.27 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24179/2014
File No : J-11015/304/2012-IA.II (M)
Proposal Name : Limestone Mine (12.27 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 12/07/2012
Date of TOR Granted : 05 Mar 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/180820143HB2QJIJToRTATAAniali1227ha.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/3_(2.5)304_2012%20Ms%20Tata%20Chemicals%20Ltd.%20Additional%20information.pdf
https://environmentclearance.nic.in/writereaddata/Monitoring/81655926_CCR%20Aniali%20mines.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/24_Jul_2017_1623318178NTOUVJR17.pdf"
"
                            23
                        ","
IA/GJ/MIN/24186/2012
","

J-11015/308/2012-IA.II (M)
","

Limestone Mine (16.21 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24186/2012
File No : J-11015/308/2012-IA.II (M)
Proposal Name : Limestone Mine (16.21 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 07/07/2012
Date of TOR Granted : 19 Mar 2013",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014WR9ZUCSWToRAniali1621haTATA.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/21_308_2012%20Ms%20TATA%20Chemicals%20Ltd.%20Gujarat%20information.pdf"
"
                            24
                        ","
IA/GJ/MIN/24186/2012
","

J-11015/308/2012-IA.II (M)
","

Limestone Mine (16.21 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24186/2012
File No : J-11015/308/2012-IA.II (M)
Proposal Name : Limestone Mine (16.21 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 07/07/2012
Date of TOR Granted : 19 Mar 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014WR9ZUCSWToRAniali1621haTATA.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/21_308_2012%20Ms%20TATA%20Chemicals%20Ltd.%20Gujarat%20information.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/24_Jul_2017_162659993EU9HC97O22.pdf"
"
                            25
                        ","
IA/GJ/MIN/24187/2012
","

J-11015/305/2012-IA.II (M)
","

Limestone Mine (15.99 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24187/2012
File No : J-11015/305/2012-IA.II (M)
Proposal Name : Limestone Mine (15.99 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 12/07/2012
Date of TOR Granted : 05 Mar 2013",Mining Projects,Rahul J Buch,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014FHKRSHALToRAniali1599ha.pdf
"
                            26
                        ","
IA/GJ/MIN/24187/2012
","

J-11015/305/2012-IA.II (M)
","

Limestone Mine (15.99 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24187/2012
File No : J-11015/305/2012-IA.II (M)
Proposal Name : Limestone Mine (15.99 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 12/07/2012
Date of TOR Granted : 05 Mar 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014FHKRSHALToRAniali1599ha.pdf
"
                            27
                        ","
IA/GJ/MIN/24191/2012
","

J-11015/306/2012-IA.II (M)
","

Limestone Mine (25.45 ha) of TATA Chemicals Ltd at Ranavav village, Ranavav, Porbandar
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24191/2012
File No : J-11015/306/2012-IA.II (M)
Proposal Name : Limestone Mine (25.45 ha) of TATA Chemicals Ltd at Ranavav village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 12/07/2012
Date of TOR Granted : 26 Mar 2013",Mining Projects,Rahul J Buch,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/190820143EWXW2DTToRRanavav2545haTATA.PDF
"
                            28
                        ","
IA/GJ/MIN/24191/2012
","

J-11015/306/2012-IA.II (M)
","

Limestone Mine (25.45 ha) of TATA Chemicals Ltd at Ranavav village, Ranavav, Porbandar
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24191/2012
File No : J-11015/306/2012-IA.II (M)
Proposal Name : Limestone Mine (25.45 ha) of TATA Chemicals Ltd at Ranavav village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 12/07/2012
Date of TOR Granted : 26 Mar 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/190820143EWXW2DTToRRanavav2545haTATA.PDF
https://environmentclearance.nic.in/writereaddata/Compliance/24_Jul_2017_162559000TW953Q4119.pdf"
"
                            29
                        ","
IA/GJ/MIN/24212/2012
","

J-11015/307/2012-IA.II (M)
","

Limestone Mine (6.07 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24212/2012
File No : J-11015/307/2012-IA.II (M)
Proposal Name : Limestone Mine (6.07 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 12/07/2012
Date of TOR Granted : 01 Apr 2013",Mining Projects,Rahul J Buch,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014WXLIRKS6ToRAniali607HaTATA.pdf
"
                            30
                        ","
IA/GJ/MIN/24212/2012
","

J-11015/307/2012-IA.II (M)
","

Limestone Mine (6.07 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24212/2012
File No : J-11015/307/2012-IA.II (M)
Proposal Name : Limestone Mine (6.07 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbandar","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 12/07/2012
Date of TOR Granted : 01 Apr 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014WXLIRKS6ToRAniali607HaTATA.pdf
"
                            31
                        ","
IA/GJ/MIN/24213/2012
","

J-11015/309/2012-IA.II (M)
","

Limestone Mine (21.04 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbanda
","

Rahul J Buch 
","
TOR GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24213/2012
File No : J-11015/309/2012-IA.II (M)
Proposal Name : Limestone Mine (21.04 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbanda","State : Gujarat
District : Porbandar  
Village :","Date of Receipt of Proposal : 12/07/2012
Date of TOR Granted : 18 Mar 2013",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014DFVIAN9CToRAniali2104haTATA.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/41_309_2012%20Ms%20TATA%20Chemicals%20Ltd.%20Gujarat%20information.pdf"
"
                            32
                        ","
IA/GJ/MIN/24213/2012
","

J-11015/309/2012-IA.II (M)
","

Limestone Mine (21.04 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbanda
","

Rahul J Buch 
","
EC GRANTED
","






",1,"Proposal No : IA/GJ/MIN/24213/2012
File No : J-11015/309/2012-IA.II (M)
Proposal Name : Limestone Mine (21.04 ha) of TATA Chemicals Ltd at Aniali village, Ranavav, Porbanda","State : Gujarat
District : Porbandar  
Village :","Date of apply for TOR : 12/07/2012
Date of TOR Granted : 18 Mar 2013
Date of Receipt for EC :
Date of EC Granted :",Mining Projects,Rahul J Buch,,"https://environmentclearance.nic.in/writereaddata/Form-1A/TOR/19082014DFVIAN9CToRAniali2104haTATA.pdf
https://environmentclearance.nic.in/writereaddata/Public%20Hearing/Folder7/41_309_2012%20Ms%20TATA%20Chemicals%20Ltd.%20Gujarat%20information.pdf
https://environmentclearance.nic.in/writereaddata/Monitoring/95706286_CCR%20Aniali%20mines.pdf
https://environmentclearance.nic.in/writereaddata/Compliance/24_Jul_2017_1624456578H7CAQ2T18.pdf"
"
                            33
                        ","
IA/GJ/MIN/8432/2012
","

J-11015/304/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.
","
DList
","






",1,"Proposal No : IA/GJ/MIN/8432/2012
File No : J-11015/304/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Select
Village : Aniali","Date of Receipt for Proposal : 12 Jul 2012
Date of Delisted : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            34
                        ","
IA/GJ/MIN/8438/2012
","

J-11015/305/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.,
","
Transfer
","






",1,"Proposal No : IA/GJ/MIN/8438/2012
File No : J-11015/305/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Porbandar  
Village : Aniali","Date of Receipt for Proposal : 12 Jul 2012
Date of Transferred : 01 Feb 2014",Mining Projects,"M/s Tata Chemicals Ltd.,",https://environmentclearance.nic.in/Default.aspx,
"
                            35
                        ","
IA/GJ/MIN/8446/2012
","

J-11015/306/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.
","
Closed
","






",1,"Proposal No : IA/GJ/MIN/8446/2012
File No : J-11015/306/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Select
Village : Ranavav","Date of Receipt for Proposal : 12 Jul 2012
Date of Closed : 19 Jun 2015",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            36
                        ","
IA/GJ/MIN/8454/2012
","

J-11015/307/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.
","
Transfer
","






",1,"Proposal No : IA/GJ/MIN/8454/2012
File No : J-11015/307/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Select
Village : Aniali","Date of Receipt for Proposal : 12 Jul 2012
Date of Transferred : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            37
                        ","
IA/GJ/MIN/8460/2012
","

J-11015/308/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.
","
Closed
","






",1,"Proposal No : IA/GJ/MIN/8460/2012
File No : J-11015/308/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Select
Village : Aniali","Date of Receipt for Proposal : 12 Jul 2012
Date of Closed : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
"
                            38
                        ","
IA/GJ/MIN/8465/2012
","

J-11015/309/2012.IA.II(M)
","

Proposed Limestone mine
","

M/s Tata Chemicals Ltd.
","
Closed
","






",1,"Proposal No : IA/GJ/MIN/8465/2012
File No : J-11015/309/2012.IA.II(M)
Proposal Name : Proposed Limestone mine","State : Gujarat
District : Select
Village : Aniali","Date of Receipt for Proposal : 12 Jul 2012
Date of Closed : 01 Feb 2014",Mining Projects,M/s Tata Chemicals Ltd.,https://environmentclearance.nic.in/Default.aspx,
